Incident_ID,Attack_Vector,Infrastructure_Zone,Payload_Volume_MB,Neural_Anomaly_Score,Breach_Status
SEC_000000,Phishing API Exfiltration,Cloud Edge Cluster,223.17,23.24,0
SEC_000001,SQL Injection Spectrum,Cloud Edge Cluster,1366.55,91.76,1
SEC_000002,Phishing API Exfiltration,On-Prem Gateway,604.54,58.55,0
SEC_000003,DDoS Flooding,Cloud Edge Cluster,422.82,61.28,0
SEC_000004,SQL Injection Spectrum,DMZ Proxy Subnet,88.33,21.67,0
SEC_000005,DDoS Flooding,DMZ Proxy Subnet,88.32,34.04,0
SEC_000006,Ransomware Core Payload,DMZ Proxy Subnet,38.93,11.08,0
SEC_000007,Ransomware Core Payload,On-Prem Gateway,917.05,77.2,1
SEC_000008,DDoS Flooding,On-Prem Gateway,425.59,54.81,0
SEC_000009,SQL Injection Spectrum,DMZ Proxy Subnet,566.06,60.08,0
SEC_000010,DDoS Flooding,DMZ Proxy Subnet,21.36,30.88,0
SEC_000011,Phishing API Exfiltration,On-Prem Gateway,1588.6,99.77,1
SEC_000012,Phishing API Exfiltration,DMZ Proxy Subnet,815.89,86.7,1
SEC_000013,DDoS Flooding,Cloud Edge Cluster,119.41,30.5,0
SEC_000014,Phishing API Exfiltration,Cloud Edge Cluster,102.31,36.17,0
SEC_000015,DDoS Flooding,DMZ Proxy Subnet,103.18,17.84,0
SEC_000016,Phishing API Exfiltration,Cloud Edge Cluster,175.24,23.99,0
SEC_000017,DDoS Flooding,DMZ Proxy Subnet,346.77,45.34,0
SEC_000018,Phishing API Exfiltration,On-Prem Gateway,266.49,57.22,0
SEC_000019,SQL Injection Spectrum,DMZ Proxy Subnet,166.9,32.83,0
SEC_000020,SQL Injection Spectrum,On-Prem Gateway,437.87,43.98,0
SEC_000021,Phishing API Exfiltration,Cloud Edge Cluster,79.61,27.08,0
SEC_000022,DDoS Flooding,Cloud Edge Cluster,167.48,28.68,0
SEC_000023,Phishing API Exfiltration,Cloud Edge Cluster,217.32,43.12,0
SEC_000024,Ransomware Core Payload,DMZ Proxy Subnet,286.02,18.98,0
SEC_000025,Ransomware Core Payload,On-Prem Gateway,704.07,77.38,1
SEC_000026,DDoS Flooding,On-Prem Gateway,112.23,24.51,0
SEC_000027,Phishing API Exfiltration,Cloud Edge Cluster,336.91,54.31,0
SEC_000028,Phishing API Exfiltration,Cloud Edge Cluster,415.88,27.59,0
SEC_000029,SQL Injection Spectrum,On-Prem Gateway,33.4,41.37,0
SEC_000030,DDoS Flooding,DMZ Proxy Subnet,432.9,57.4,0
SEC_000031,Ransomware Core Payload,Cloud Edge Cluster,96.13,39.61,0
SEC_000032,Ransomware Core Payload,DMZ Proxy Subnet,42.27,16.77,0
SEC_000033,DDoS Flooding,Cloud Edge Cluster,1350.16,87.75,1
SEC_000034,Ransomware Core Payload,Cloud Edge Cluster,1528.78,73.41,1
SEC_000035,DDoS Flooding,DMZ Proxy Subnet,755.55,56.43,0
