Audit_Hash_ID,Enterprise_Client,Infrastructure_Layer,Threat_Classification,Traffic_Volume_GB,Neural_Threat_Index,Breach_Compliance_Flag
SEC_MD5_000000,Amazon Web Services,IAM Authentication Layer,Token Hijacking,18.351,72.2,0
SEC_MD5_000001,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,10.921,48.73,0
SEC_MD5_000002,Microsoft Corp.,Edge Computing Node,Vector Injection,11.418,69.77,0
SEC_MD5_000003,Microsoft Corp.,API Gateway Endpoint,Zero-Day Vulnerability,6.0,25.82,0
SEC_MD5_000004,Amazon Web Services,IAM Authentication Layer,Vector Injection,6.934,76.7,1
SEC_MD5_000005,Meta Platforms,IAM Authentication Layer,Zero-Day Vulnerability,14.169,53.53,0
SEC_MD5_000006,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,17.317,73.48,1
SEC_MD5_000007,Apple Inc.,API Gateway Endpoint,Zero-Day Vulnerability,11.97,62.77,0
SEC_MD5_000008,Meta Platforms,Distributed Core Database,Exfiltration Attempt,5.103,41.56,0
SEC_MD5_000009,Microsoft Corp.,Distributed Core Database,Exfiltration Attempt,30.067,77.54,1
SEC_MD5_000010,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,15.214,61.99,0
SEC_MD5_000011,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,11.436,28.85,0
SEC_MD5_000012,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,26.328,84.83,1
SEC_MD5_000013,Meta Platforms,Distributed Core Database,Vector Injection,13.093,48.98,0
SEC_MD5_000014,Apple Inc.,API Gateway Endpoint,Token Hijacking,12.323,67.25,0
SEC_MD5_000015,Microsoft Corp.,Edge Computing Node,Token Hijacking,18.748,61.47,0
SEC_MD5_000016,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,42.951,100.0,1
SEC_MD5_000017,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,12.586,57.9,0
SEC_MD5_000018,Meta Platforms,Edge Computing Node,Exfiltration Attempt,49.675,100.0,1
SEC_MD5_000019,Alphabet Inc.,Distributed Core Database,Token Hijacking,27.924,75.7,1
SEC_MD5_000020,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,7.032,43.95,0
SEC_MD5_000021,Amazon Web Services,API Gateway Endpoint,Token Hijacking,18.696,75.83,1
SEC_MD5_000022,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,7.028,34.93,0
SEC_MD5_000023,Microsoft Corp.,IAM Authentication Layer,Vector Injection,14.548,42.74,0
SEC_MD5_000024,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,11.842,47.29,0
SEC_MD5_000025,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,7.902,36.31,0
SEC_MD5_000026,Amazon Web Services,Edge Computing Node,Vector Injection,35.273,100.0,1
